"Orateur","Parti","Objet","Date","Texte"
"Le président","Présidence","25.160","Septembre 2025","Mesdames et Messieurs les membres du Grand Conseil neuchâtelois, Mesdames et Messieurs les membres du Conseil d'État, nous vous souhaitons la bienvenue à cette session du Grand Conseil, qui s'annonce particulièrement dense et longue. Nous espérons que vos vacances ont été suffisamment agréables pour vous être reposés et préparés à cette session. Nous allons commencer avec quelques communications. Tout d'abord, c'est avec bonheur que nous avons appris la naissance de Neven, hier, 1er septembre 2025. Nous profitons donc d'avoir la parole pour adresser, au nom du Grand Conseil, nos sincères félicitations et tous nos vœux de bonheur à ses parents, et en particulier à notre collègue Océane Musitelli-Taillard. Bonne session à toutes et à tous ! Nous en profitons également pour vous rappeler que les boissons dans la salle ne sont autorisées que dans des contenants fermés. Il ne s'agit ni d'un rituel ni d'une tradition particulière ; c'est parce que si le liquide coule sur les cartes de vote ou sur les boutons de vote, c'est la « galère », pour utiliser un terme très poli. Donc, s'il vous plaît, vous pouvez très bien vous hydrater dans la salle, mais dans des contenants fermés pour éviter tout risque. Nous vous remercions. ASSERMENTATION D'UNE DÉPUTÉE SUPPLÉANTE Mme Jasmine Herrera, députée suppléante, n'était pas présente lors de la session du 27 mai et n'a, par conséquent, pas encore été assermentée. Nous prions l'huissière de faire entrer la nouvelle membre du Grand Conseil dans la salle et invitons l'assemblée et les représentants de la presse à se lever. (Entre Mme Jasmine Herrera.) Madame la députée suppléante, nous vous donnons lecture de la formule du serment. À l'appel de votre nom, vous voudrez bien lever la main droite et déclarer « je le promets » ou « je le jure » ou « je le jure devant Dieu ». Je promets de respecter les droits et les libertés du peuple et des citoyennes et des citoyens, d'observer strictement la Constitution et les lois constitutionnelles et de remplir fidèlement et consciencieusement les devoirs de ma charge."
"Mme Jasmine Herrera","Indéterminé","25.160","Septembre 2025","Je le promets."
"Le président","Présidence","25.160","Septembre 2025","Nous vous remercions et vous souhaitons la bienvenue dans ce parlement. (Applaudissements.) COMMUNICATIONS Composition d'une commission La commission temporaire Pouvoir d'achat (rapport 25.033) sera composée comme suit : Mmes et MM. Julien Gressot (président), Christine Ammann Tschopp et Brigitte Neuhaus pour le groupe VertPOP ; Francis Krähenbühl (vice-président), Quentin Di Meo, Jean Fehlbaum, Cédric Haldimann et Alexis Maire pour le groupe libéral-radical – Le Centre ; Antoine de Montmollin, Romain Dubois, Laetitia Mauerhofer et Fabienne Robert-Nicoud pour le groupe socialiste ; et Evan Finger pour le groupe UDC. Séance du 2 septembre 2025, 8h30 Retrait d'une proposition Le postulat du groupe VertPOP 25.122, du 13 mars 2025, « Pour un soutien financier aux SPA pour la stérilisation des chats », a été retiré par ses auteur-e-s le 28 août 2025. COMMUNICATIONS DU PRÉSIDENT En vue des débats, nous vous rappelons que, conformément à notre loi d'organisation, il vous revient d'annoncer en préambule de vos prises de parole vos éventuels liens d'intérêts avec le sujet traité. Il peut notamment s'agir d'un mandat exercé au niveau d'une association, d'une fondation, d'un établissement de droit public, d'une société ou d'une collectivité. Cela n'implique pas la récusation formelle, mais contribue à une meilleure transparence des débats. De plus, vous l'avez constaté, notre ordre du jour est extrêmement long. Nous avons des objets A et des objets B à traiter. Nous aimerions donc vous inviter à adopter les mêmes bonnes pratiques que lors de la dernière session, où nous avions été extrêmement efficaces malgré le nombre d'urgences que nous avions à traiter. Il s'agit donc de se limiter à l'essentiel, d'éviter la paraphrase des rapports, tout en gardant évidemment toute votre liberté de député-e de pouvoir vous exprimer sur le sujet que vous estimez être important. Par ailleurs, nous vous annonçons que nous terminerons notre session du matin probablement aux alentours de 11h45 pour que les groupes puissent se réunir entre 11h45 et midi, afin de discuter des différentes urgences que nous traiterons en début d'après-midi, et également que les pauses auront lieu aux alentours de 10h et de 16h, suivant l'avancée de nos débats. Séance du 2 septembre 2025, 8h30 CONTRÔLE PARLEMENTAIRE CONVENTION SCOLAIRE ROMANDE 25.610"
"Le président","Présidence","25.610","Septembre 2025","CONTRÔLE PARLEMENTAIRE CONVENTION SCOLAIRE ROMANDE 25.610 Rapport de la commission des affaires extérieures au Grand Conseil relatif au rapport annuel 2024 de la commission interparlementaire de contrôle de la Convention scolaire romande (CIP CSR) (Du 18 juin 2025)"
"Mme Joëlle Eymann occupe le siège de rapporteur. Le président","Indéterminé","25.610","Septembre 2025","Il s'agit d'un rapport sans débat ni vote. Le rapport est traité. Séance du 2 septembre 2025, 8h30 CONTRÔLE PARLEMENTAIRE HE-ARC 25.611"
"Mme Joëlle Eymann occupe le siège de rapporteur. Le président","Indéterminé","25.611","Septembre 2025","CONTRÔLE PARLEMENTAIRE HE-ARC 25.611 Rapport de la commission des affaires extérieures au Grand Conseil relatif au rapport d'activités 2024 de la commission interparlementaire de contrôle de la Haute École Arc (CIC HE-Arc) (Du 18 juin 2025)"
"Mme Sloane Studer occupe le siège de rapporteur. Le président","Indéterminé","25.611","Septembre 2025","Il s'agit d'un rapport sans débat ni vote. Le rapport est traité. Séance du 2 septembre 2025, 8h30 CONTRÔLE PARLEMENTAIRE HEP-BEJUNE 25.612"
"Mme Sloane Studer occupe le siège de rapporteur. Le président","Indéterminé","25.612","Septembre 2025","CONTRÔLE PARLEMENTAIRE HEP-BEJUNE 25.612 Rapport de la commission des affaires extérieures au Grand Conseil relatif au rapport annuel 2024 de la commission interparlementaire de la Haute École pédagogique des cantons de Berne, Jura et Neuchâtel (CIP HEP-BEJUNE) (Du 18 juin 2025) Il s'agit d'un rapport sans débat ni vote. Le rapport est traité. Séance du 2 septembre 2025, 8h30 CONTRÔLE PARLEMENTAIRE DÉTENTION PÉNALE 25.613"
"Mme Sloane Studer occupe le siège de rapporteur. Le président","Indéterminé","25.613","Septembre 2025","CONTRÔLE PARLEMENTAIRE DÉTENTION PÉNALE 25.613 Rapport de la commission des affaires extérieures au Grand Conseil relatif au rapport de la commission interparlementaire « détention pénale », période janvier 2024 – mai 2025 (Du 18 juin 2025)"
"Mme Sarah Bertschi occupe le siège de rapporteur. Le président","Indéterminé","25.613","Septembre 2025","Il s'agit d'un rapport sans débat ni vote. Le rapport est traité. Séance du 2 septembre 2025, 8h30 PLANIFICATION HOSPITALIÈRE NEUCHÂTELOISE 24.053"
